0:00:01.305570,0,None
0:00:01.555623,1,None
0:00:01.762430,2,249354
0:00:01.950232,3,198938
0:00:02.141645,4,191772
0:00:02.343508,5,196424
0:00:02.562278,6,401415
0:00:02.764239,7,406396
0:00:02.987357,8,411635
0:00:03.202111,9,416901
0:00:03.430527,10,422196
0:00:03.662903,11,427580
0:00:03.906742,12,433165
0:00:04.151004,13,438930
0:00:04.393236,14,444827
0:00:04.653794,15,450965
0:00:04.921051,16,457517
0:00:05.189111,17,462828
0:00:05.456211,18,468022
0:00:05.741852,19,473431
0:00:06.022279,20,478986
0:00:06.319128,21,484700
0:00:06.611146,22,490691
0:00:06.909519,23,496861
0:00:07.227010,24,503237
0:00:07.543839,25,509829
0:00:07.861396,26,516736
0:00:08.200116,27,523956
0:00:08.530731,28,531523
0:00:08.886899,29,539109
0:00:09.235316,30,547306
0:00:09.609803,31,555761
0:00:09.978366,32,564479
0:00:10.359867,33,573402
0:00:10.752841,34,582681
0:00:11.152853,35,592431
0:00:11.573871,36,802801
0:00:11.999660,37,813664
0:00:12.436844,38,825018
0:00:12.880608,39,836875
0:00:13.340518,40,849263
0:00:13.823570,41,862277
0:00:14.312750,42,875942
0:00:14.816146,43,890659
0:00:15.255320,44,906382
0:00:15.536306,45,643572
0:00:15.767121,46,480974
0:00:15.976490,47,421096
0:00:16.205943,48,419067
0:00:16.435903,49,423196
0:00:16.665412,50,427600
0:00:16.904607,51,432090
0:00:17.134691,52,436630
0:00:17.389047,53,441412
0:00:17.643816,54,446476
0:00:17.891845,55,451719
0:00:18.158100,56,456930
0:00:18.425718,57,462136
0:00:18.706350,58,467681
0:00:18.955800,59,473495
0:00:19.124580,60,250441
0:00:19.269627,61,179132
0:00:19.402108,62,144064
0:00:19.522437,63,127130
0:00:19.634260,64,118767
0:00:19.756825,65,117349
0:00:19.872112,66,119122
0:00:20.000375,67,121029
0:00:20.106974,68,122100
0:00:20.209956,69,113287
0:00:20.312754,70,103568
0:00:20.403281,71,97046
0:00:20.500962,72,92735
0:00:20.591415,73,90560
0:00:20.678738,74,90810
0:00:20.769114,75,92151
0:00:20.867257,76,93542
0:00:20.958340,77,94958
